date,ticker,price
2024-01-01,AAPL,149.04829828914117
2024-01-02,AAPL,147.92663893959948
2024-01-03,AAPL,148.00528322260962
2024-01-04,AAPL,150.25363752396916
2024-01-05,AAPL,152.58028167701565
2024-01-06,AAPL,152.76324750897268
2024-01-07,AAPL,152.66639603041224
2024-01-08,AAPL,154.61646227937806
2024-01-09,AAPL,155.56945903421212
2024-01-10,AAPL,154.9697289897183
2024-01-11,AAPL,154.9568080890588
2024-01-12,AAPL,155.23112193550813
2024-01-13,AAPL,153.11930846653868
2024-01-14,AAPL,153.15505448814602
2024-01-15,AAPL,152.28556929614888
2024-01-16,AAPL,151.7372101663405
2024-01-17,AAPL,151.14552531347564
2024-01-18,AAPL,151.14460398972759
2024-01-19,AAPL,150.03158846255914
2024-01-20,AAPL,150.69484017280294
